delivery_person_age,delivery_person_ratings,order_type_category,multiple_deliveries,total_distance,weather_category,road_traffic_category,vechicle_type_category,vehicle_condition,festival_bool,city_category,day_of_week,week_or_weekend,valley_or_peak,wt_minutes,time_taken_min
23.0,4.9,3,0.0,1.5094423471075233,5,0,1,2,0,2,1,0,0,5.0,21
26.0,4.6,1,0.0,1.5725359013624185,0,0,2,1,0,2,1,0,0,5.0,14
38.0,4.9,2,1.0,3.104467663022217,1,0,0,2,0,1,1,0,0,15.0,27
36.0,4.8,1,0.0,1.5725359013624185,1,0,0,2,0,2,1,0,0,10.0,28
27.0,4.7,0,0.0,1.5322227998535523,3,0,0,2,0,2,1,0,0,15.0,10
27.0,4.9,3,1.0,3.10513417820445,5,0,1,1,0,2,1,0,0,15.0,17
23.0,4.6,1,0.0,1.5323532524616486,0,0,2,1,0,2,1,0,0,10.0,18
39.0,4.9,1,1.0,1.53690825689947,5,0,1,1,0,2,1,0,0,5.0,13
24.0,4.3,3,0.0,1.5125179782587577,1,0,2,0,0,2,1,0,0,10.0,22
32.0,4.5,0,1.0,1.5295083184215559,1,0,2,0,0,2,1,0,0,15.0,22
36.0,4.4,0,0.0,3.105095385444128,2,0,2,0,0,2,1,0,0,15.0,29
36.0,4.9,3,0.0,1.5322369069085406,3,0,0,2,0,1,1,0,0,10.0,15
32.0,4.8,1,1.0,1.5292998068749615,1,0,2,2,0,1,1,0,0,10.0,22
29.0,4.9,2,1.0,1.5126938714103186,0,0,1,1,0,1,1,0,0,5.0,15
20.0,4.0,0,1.0,1.5126042185380635,0,0,2,0,0,1,1,0,0,5.0,19
30.0,4.5,0,1.0,3.1089794890114617,4,0,2,0,0,2,1,0,0,10.0,27
24.0,4.2,2,1.0,3.116126143584278,2,0,2,0,0,2,1,0,0,15.0,26
30.0,4.7,1,1.0,1.5523033944596103,5,0,1,2,0,1,1,0,0,15.0,15
24.0,4.6,3,0.0,3.1161450854884847,1,0,2,1,0,1,1,0,0,15.0,12
37.0,4.9,2,1.0,3.04066956326349,3,0,2,0,0,2,1,0,0,5.0,22
35.0,4.1,1,1.0,1.5093785281296532,1,0,2,0,0,2,1,0,0,10.0,29
32.0,4.7,1,1.0,2.979504123842636,4,0,2,0,0,2,1,0,0,5.0,20
25.0,4.4,2,1.0,1.5545838103708332,2,0,2,0,0,2,1,0,0,5.0,16
33.0,4.7,1,1.0,1.5323617610735154,4,0,2,0,0,1,1,0,0,5.0,26
39.0,4.1,1,1.0,3.0585778835398427,1,0,2,0,0,2,1,0,0,5.0,26
32.0,4.6,2,1.0,3.1450717787737443,0,0,1,1,0,2,1,0,0,10.0,25
21.0,5.0,3,0.0,1.5524817816813086,3,0,1,1,0,2,1,0,0,10.0,10
23.0,4.9,1,0.0,3.02506582024927,1,0,1,1,0,2,1,0,0,15.0,17
28.0,4.2,0,0.0,1.5147894382457694,2,0,2,0,0,1,1,0,0,10.0,25
31.0,4.7,3,0.0,3.060560367946659,5,0,2,2,0,2,1,0,0,15.0,11
37.0,4.9,0,0.0,3.0251534641916638,0,0,1,2,0,2,1,0,0,15.0,27
36.0,4.7,1,1.0,3.029444744754666,0,0,1,2,0,2,1,0,0,5.0,27
30.0,4.6,3,1.0,3.029516935703654,3,0,2,0,0,2,1,0,0,15.0,29
28.0,4.7,1,0.0,1.512586857850446,0,0,1,1,0,2,1,0,0,5.0,19
23.0,4.4,3,1.0,3.1088252119563204,1,0,2,0,0,2,1,0,0,10.0,20
29.0,4.8,1,0.0,3.059714187569834,3,0,2,0,0,2,1,0,0,15.0,18
22.0,4.7,0,1.0,2.979602816939045,5,0,1,2,0,2,1,0,0,5.0,20
30.0,4.5,2,1.0,3.1162462959059236,1,0,2,0,0,2,1,0,0,10.0,25
27.0,5.0,2,0.0,3.0189156516561626,5,0,1,1,0,2,1,0,0,15.0,18
27.0,4.2,1,1.0,1.536835565284354,0,0,2,0,0,2,1,0,0,5.0,21
31.0,4.7,3,1.0,1.5580760839139531,5,0,1,1,0,1,1,0,0,10.0,19
29.0,4.5,3,0.0,1.5147834978717079,4,0,0,2,0,2,1,0,0,5.0,14
27.0,4.2,1,0.0,1.552218707729946,0,0,2,0,0,1,1,0,0,5.0,29
39.0,4.8,2,0.0,3.025660263420111,4,0,2,1,0,2,1,0,0,5.0,15
22.0,4.6,0,1.0,1.5525830977088295,2,0,1,1,0,2,1,0,0,10.0,14
28.0,5.0,3,1.0,1.5320248901841549,4,0,1,2,0,1,1,0,0,10.0,17
35.0,4.7,2,1.0,3.1045603406335536,3,0,2,0,0,2,1,0,0,15.0,26
36.0,4.2,2,1.0,1.554479429326532,2,0,2,0,0,2,1,0,0,5.0,29
31.0,5.0,3,1.0,3.0646318253808076,0,0,1,1,0,2,1,0,0,5.0,25
25.0,4.9,2,0.0,3.104665163060887,0,0,2,1,0,2,1,0,0,10.0,12
30.0,4.6,0,0.0,3.0405414414137746,5,0,2,0,0,2,1,0,0,10.0,26
32.0,4.9,2,1.0,1.5094624827910066,0,0,1,2,0,1,1,0,0,10.0,25
32.0,4.5,3,0.0,1.4898312119021069,4,0,2,0,0,2,1,0,0,15.0,28
36.0,4.0,3,0.0,3.0295639241066654,0,0,2,0,0,1,1,0,0,10.0,31
33.0,4.6,0,1.0,3.1450717787737443,3,0,1,1,0,1,1,0,0,5.0,19
20.0,4.5,2,1.0,1.5147958137109587,4,0,1,2,0,1,1,0,0,5.0,15
31.0,4.2,1,2.0,1.5523606237865775,2,0,2,0,0,2,1,0,0,5.0,33
37.0,5.0,0,1.0,1.55257444336167,3,0,2,0,0,2,1,0,0,15.0,26
33.0,4.2,3,0.0,3.0594475647803385,1,0,2,0,0,2,1,0,0,10.0,23
36.0,4.7,0,0.0,3.0188729118478177,3,0,1,1,0,2,1,0,0,10.0,15
39.0,4.8,1,0.0,3.073786843706971,2,0,2,1,0,2,1,0,0,15.0,23
25.0,4.6,3,1.0,1.490155939108966,4,0,2,0,0,1,1,0,0,5.0,19
38.0,4.6,0,1.0,1.5147906643202165,5,0,2,0,0,2,1,0,0,10.0,26
21.0,4.8,3,1.0,1.52948628871332,2,0,2,1,0,2,1,0,0,5.0,16
37.0,4.7,1,0.0,3.0251485076209086,5,0,1,1,0,2,1,0,0,10.0,10
26.0,4.7,0,0.0,1.5525554613277863,1,0,1,1,0,2,1,0,0,15.0,15
33.0,4.7,1,1.0,1.5527636507893987,2,0,1,2,0,2,1,0,0,15.0,27
26.0,4.2,2,1.0,3.1047902060424737,1,0,2,0,0,2,1,0,0,5.0,21
27.0,4.6,0,0.0,1.4898015596070115,3,0,1,1,0,2,1,0,0,10.0,13
29.0,4.7,1,1.0,2.9812219730252805,0,0,2,1,0,2,1,0,0,15.0,17
31.0,5.0,1,1.0,1.520371581767709,1,0,2,1,0,1,1,0,0,15.0,22
24.0,4.1,1,0.0,3.1161513235425375,1,0,2,0,0,2,1,0,0,15.0,17
33.0,4.6,0,1.0,1.509466344105932,2,0,1,1,0,2,1,0,0,5.0,23
27.0,4.9,3,0.0,1.5545084798844577,2,0,2,1,0,2,1,0,0,15.0,13
37.0,4.8,2,0.0,1.5298274717171092,0,0,1,2,0,2,1,0,0,10.0,21
34.0,4.7,3,1.0,1.5545085262185336,5,0,1,2,0,2,1,0,0,5.0,15
20.0,5.0,0,0.0,3.073630977169961,0,0,2,1,0,2,1,0,0,5.0,11
22.0,4.9,0,1.0,1.5545165293736782,0,0,2,2,0,1,1,0,0,15.0,17
36.0,4.6,0,1.0,3.060479766017922,5,0,2,0,0,1,1,0,0,5.0,21
36.0,4.6,2,1.0,1.5322906761813144,4,0,2,0,0,2,1,0,0,5.0,22
24.0,5.0,2,0.0,3.059558473631789,4,0,2,1,0,2,1,0,0,15.0,14
23.0,4.8,2,0.0,3.1048080418230466,2,0,2,1,0,1,1,0,0,5.0,10
23.0,4.8,3,1.0,3.029565905961879,5,0,0,2,0,1,1,0,0,15.0,19
36.0,4.6,3,1.0,3.0188806358805285,2,0,1,1,0,2,1,0,0,15.0,25
24.0,4.8,2,1.0,3.1046906552877216,5,0,2,2,0,1,1,0,0,15.0,24
21.0,4.8,0,1.0,3.0644313257918503,4,0,1,2,0,2,1,0,0,10.0,10
29.0,4.4,2,0.0,1.5203111528781874,1,0,2,0,0,1,1,0,0,10.0,26
25.0,4.5,0,1.0,1.4898306448568603,1,0,1,2,0,1,1,0,0,5.0,16
23.0,4.5,2,0.0,1.5546219581060334,5,0,2,0,0,2,1,0,0,10.0,15
27.0,4.9,2,1.0,1.5368442110315812,5,0,2,0,0,2,1,0,0,10.0,19
31.0,4.7,0,0.0,1.5525419695990959,5,0,2,1,0,2,1,0,0,5.0,19
37.0,4.8,3,0.0,1.5545533205363398,3,0,1,1,0,1,1,0,0,15.0,16
20.0,4.5,1,1.0,3.0191033668985963,2,0,2,0,0,2,1,0,0,15.0,27
32.0,4.6,1,1.0,1.5524103809338297,0,0,2,1,0,2,1,0,0,5.0,28
20.0,4.6,2,0.0,3.1051184514637398,3,0,2,1,0,2,1,0,0,5.0,13
34.0,4.6,0,1.0,1.536913478007438,3,0,1,2,0,2,1,0,0,10.0,17
20.0,4.6,1,1.0,3.1091004501691613,4,0,2,0,0,2,1,0,0,10.0,24
31.0,4.9,3,1.0,2.9794992581383504,5,0,2,0,0,2,1,0,0,10.0,25
35.0,4.7,2,0.0,3.018830956935343,2,0,1,1,0,2,1,0,0,10.0,28
23.0,4.6,2,0.0,3.116132794755311,3,0,2,0,0,2,1,0,0,15.0,16
22.0,4.6,1,1.0,3.0406953397851884,2,0,2,1,0,2,1,0,0,10.0,14
31.0,4.1,2,1.0,2.979501071088015,1,0,2,0,0,2,1,0,0,5.0,22
21.0,5.0,0,1.0,3.0643399074375592,2,0,1,1,0,1,1,0,0,15.0,13
36.0,5.0,0,1.0,1.5125707061329765,5,0,1,1,0,2,1,0,0,15.0,12
39.0,5.0,2,1.0,2.9796302604649063,4,0,2,0,0,2,1,0,0,15.0,24
25.0,4.6,1,0.0,1.5725359013624185,5,0,2,0,0,2,1,0,0,15.0,12
39.0,4.7,1,1.0,3.0734265039559348,2,0,0,2,0,2,1,0,0,15.0,27
27.0,4.7,0,1.0,3.0249850323782557,5,0,2,0,0,2,1,0,0,15.0,11
24.0,4.9,3,1.0,3.0405590215902256,5,0,2,0,0,1,1,0,0,5.0,18
23.0,4.5,3,0.0,1.509481606209088,3,0,2,0,0,2,1,0,0,5.0,23
37.0,4.9,0,0.0,3.061138241904561,5,0,2,2,0,2,1,0,0,10.0,15
36.0,4.7,2,1.0,1.5202946485160471,4,0,2,0,0,1,1,0,0,10.0,24
25.0,4.7,3,1.0,1.558141963513045,3,0,1,2,0,2,1,0,0,10.0,14
27.0,4.8,1,1.0,3.025336884941077,2,0,2,1,0,2,1,0,0,10.0,12
26.0,4.5,0,1.0,1.5725359013624185,2,0,2,0,0,1,1,0,0,10.0,27
26.0,4.7,1,0.0,3.059611297704131,3,0,1,1,0,2,1,0,0,10.0,18
25.0,4.6,1,1.0,1.5580855507112945,1,0,2,2,0,1,1,0,0,15.0,15
37.0,4.7,1,1.0,3.1450717787737443,3,0,1,1,0,2,1,0,0,10.0,19
39.0,4.7,1,0.0,1.5128555301405642,3,0,1,2,0,1,1,0,0,5.0,15
34.0,4.8,3,1.0,1.5525842261405745,2,0,1,1,0,2,1,0,0,5.0,25
23.0,4.7,1,0.0,3.1161772260357408,5,0,1,1,0,1,1,0,0,15.0,15
37.0,4.6,2,1.0,1.4897363639457437,2,0,2,2,0,2,1,0,0,15.0,26
37.0,4.6,3,1.0,1.5300341368913415,2,0,1,1,0,2,1,0,0,5.0,26
20.0,5.0,0,1.0,1.5725359013624185,3,0,2,0,0,2,1,0,0,15.0,17
35.0,4.8,2,1.0,1.5545288231956302,4,0,2,0,0,2,1,0,0,5.0,20
27.0,4.1,0,1.0,1.509359276389042,0,0,2,0,0,2,1,0,0,10.0,18
29.0,4.9,0,0.0,3.0252839511176317,0,0,2,1,0,1,1,0,0,15.0,16
36.0,4.2,1,1.0,3.025349832007427,0,0,2,0,0,2,1,0,0,10.0,24
39.0,4.1,0,1.0,1.5293108860546993,1,0,2,0,0,1,1,0,0,10.0,31
30.0,4.7,3,1.0,1.5125767823354923,1,0,2,1,0,2,1,0,0,15.0,25
37.0,4.9,0,0.0,1.5581361336842987,3,0,2,0,0,2,1,0,0,15.0,22
38.0,4.0,3,1.0,1.4897827264640002,1,0,2,0,0,2,1,0,0,15.0,28
29.0,4.4,2,1.0,1.5725359013624185,2,0,2,0,0,1,1,0,0,5.0,25
21.0,4.0,3,1.0,3.0253489471920902,0,0,2,0,0,1,1,0,0,15.0,17
27.0,4.6,2,0.0,3.1053741802282473,0,0,2,1,0,2,1,0,0,5.0,16
26.0,4.8,3,1.0,1.5320281388586612,5,0,1,1,0,2,1,0,0,5.0,22
20.0,4.8,3,1.0,1.5322257268004693,3,0,2,2,0,1,1,0,0,5.0,14
29.0,4.7,0,1.0,3.0594071026482195,5,0,1,2,0,2,1,0,0,10.0,19
30.0,4.5,2,1.0,3.064013687699534,0,0,1,2,0,2,1,0,0,10.0,28
37.0,4.6,2,1.0,1.5094415091442497,3,0,2,2,0,1,1,0,0,15.0,17
39.0,4.7,0,0.0,1.5147948278873242,5,0,1,1,0,2,1,0,0,15.0,13
32.0,4.6,0,1.0,1.5580896251830259,1,0,0,2,0,2,1,0,0,10.0,26
37.0,4.8,2,1.0,1.5204725558915868,5,0,1,1,0,2,1,0,0,15.0,11
32.0,4.6,2,1.0,3.064408960106052,3,0,0,2,0,1,1,0,0,15.0,17
22.0,4.9,3,1.0,3.0644031047831395,1,0,2,1,0,1,1,0,0,5.0,17
28.0,4.9,3,1.0,3.1090633988087064,0,0,2,2,0,1,1,0,0,5.0,10
21.0,5.0,1,1.0,3.040898285466476,5,0,2,2,0,2,1,0,0,15.0,15
34.0,4.2,2,1.0,3.073401542793196,2,0,2,0,0,2,1,0,0,10.0,25
29.0,4.6,3,0.0,1.5125257215191468,4,0,1,2,0,2,1,0,0,10.0,17
24.0,5.0,0,1.0,1.5526834587520182,3,0,2,0,0,2,1,0,0,5.0,23
33.0,4.1,1,0.0,1.5368661822223133,0,0,2,0,0,1,1,0,0,15.0,28
34.0,4.3,2,0.0,1.5148069875311365,0,0,2,0,0,2,1,0,0,15.0,32
33.0,4.5,1,0.0,1.554510706698177,3,0,2,2,0,1,1,0,0,15.0,19
25.0,4.7,0,0.0,1.5523334968974676,4,0,2,0,0,2,1,0,0,5.0,23
27.0,4.8,2,1.0,1.4895314394873995,5,0,1,2,0,2,1,0,0,5.0,23
31.0,4.8,1,1.0,3.0186676179084255,0,0,1,1,0,2,1,0,0,10.0,23
31.0,4.6,3,1.0,1.5526990244208496,3,0,2,1,0,2,1,0,0,15.0,18
33.0,4.8,1,0.0,3.0295288187498133,5,0,2,1,0,1,1,0,0,10.0,14
26.0,4.8,1,1.0,1.552431157378679,5,0,1,2,0,2,1,0,0,5.0,24
24.0,4.7,1,0.0,3.059367680496715,2,0,1,2,0,2,1,0,0,5.0,18
28.0,4.6,2,1.0,3.0406541533640663,4,0,1,1,0,1,1,0,0,5.0,17
24.0,4.9,2,0.0,3.1044067194611684,2,0,1,1,0,1,1,0,0,5.0,10
35.0,5.0,1,1.0,3.105053480029349,4,0,2,2,0,2,1,0,0,5.0,17
36.0,4.7,0,0.0,3.116292359941385,5,0,2,1,0,2,1,0,0,10.0,10
35.0,4.6,2,1.0,1.5582427824707386,5,0,2,0,0,2,1,0,0,5.0,25
30.0,4.5,1,1.0,3.0250639876679455,4,0,2,0,0,1,1,0,0,15.0,22
27.0,4.8,1,1.0,1.4898443645984067,4,0,1,1,0,2,1,0,0,15.0,17
23.0,4.9,2,0.0,1.5581393913660335,1,0,2,1,0,2,1,0,0,10.0,19
30.0,4.7,2,0.0,2.979637416283933,1,0,2,2,0,2,1,0,0,15.0,20
24.0,4.5,1,0.0,1.5091414120445665,0,2,1,2,0,2,1,0,0,5.0,25
37.0,4.3,2,1.0,3.04070205364239,0,2,1,1,0,2,1,0,0,15.0,33
28.0,4.5,1,0.0,3.1091387088506472,5,2,2,0,1,2,1,0,0,15.0,48
21.0,4.7,2,0.0,3.105368834219494,3,2,2,0,0,2,1,0,0,5.0,23
32.0,4.8,2,1.0,3.040820298363661,0,2,1,2,0,2,1,0,0,5.0,34
24.0,5.0,3,1.0,2.97963063462856,0,2,2,1,0,1,1,0,0,5.0,18
25.0,4.7,3,1.0,1.5126186112290723,3,2,2,1,0,2,1,0,0,15.0,28
39.0,4.6,1,0.0,1.558126584398603,1,2,2,1,0,2,1,0,0,15.0,26
35.0,4.3,2,1.0,1.5545646884939357,0,2,2,2,0,2,1,0,0,10.0,32
22.0,4.9,2,0.0,1.5725359013624185,5,2,2,1,0,2,1,0,0,10.0,10
37.0,4.7,2,2.0,1.5526517752747182,1,2,2,0,0,1,1,0,0,10.0,49
36.0,4.7,2,1.0,3.11625796069181,4,2,2,0,0,2,1,0,0,10.0,28
38.0,4.2,2,1.0,1.5297253982538181,2,2,2,0,1,2,1,0,0,5.0,41
30.0,4.0,3,2.0,1.5203586961765219,4,2,1,2,0,2,1,0,0,5.0,36
36.0,4.1,0,1.0,1.5299905612415228,3,2,0,2,0,2,1,0,0,15.0,34
27.0,4.5,3,1.0,3.105497006050179,0,2,2,0,0,2,1,0,0,10.0,27
38.0,4.3,1,1.0,1.5525650842815888,3,2,0,2,0,2,1,0,0,5.0,37
29.0,4.0,1,1.0,1.536718015941804,1,2,2,0,0,2,1,0,0,5.0,35
26.0,4.5,1,1.0,3.1162428001751348,1,2,2,2,0,2,1,0,0,5.0,12
21.0,4.6,2,0.0,3.0644913386115418,4,2,1,2,0,2,1,0,0,15.0,27
31.0,4.4,0,1.0,1.489778873078601,4,2,2,0,0,2,1,0,0,5.0,33
33.0,5.0,0,1.0,1.5291648781992038,2,2,0,2,0,2,1,0,0,15.0,30
37.0,4.9,3,1.0,3.1089743027144916,5,2,2,0,0,2,1,0,0,10.0,23
25.0,5.0,3,1.0,1.5367333555899934,3,2,0,2,0,2,1,0,0,10.0,26
23.0,4.3,0,1.0,2.979531585883249,4,2,2,1,0,2,1,0,0,10.0,31
36.0,4.6,3,1.0,1.520359413409167,4,2,1,1,0,2,1,0,0,5.0,28
30.0,4.3,2,2.0,3.025000521813691,2,2,2,0,0,1,1,0,0,5.0,47
30.0,4.9,1,0.0,3.0599375538013343,4,2,2,0,0,2,1,0,0,5.0,27
39.0,4.7,3,1.0,3.1046102421056685,2,2,2,1,0,2,1,0,0,10.0,25
38.0,4.8,3,1.0,3.108907213367544,1,2,1,1,0,2,1,0,0,10.0,28
26.0,4.6,1,0.0,3.0253815003729434,3,2,2,0,0,2,1,0,0,10.0,25
33.0,4.7,0,0.0,3.0405457097775974,5,2,1,2,0,1,1,0,0,15.0,21
26.0,4.7,3,1.0,1.552363024223823,4,2,2,1,0,2,1,0,0,5.0,29
26.0,4.8,2,1.0,3.018413614416182,3,2,1,2,0,2,1,0,0,15.0,24
33.0,4.6,3,1.0,3.0251228174902294,2,2,1,1,0,2,1,0,0,5.0,26
38.0,4.7,0,1.0,2.979004318204226,4,2,1,2,0,2,1,0,0,15.0,26
32.0,4.8,1,1.0,3.1051146836638766,2,2,2,0,0,2,1,0,0,5.0,30
29.0,4.9,2,1.0,3.0188454284300343,1,2,1,2,0,2,1,0,0,15.0,21
